"","Run","Path","Class"
"1","ecd6cc08-1fc9-4034-b03f-5bb315d3f905.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"2","f063aaed-a371-445a-9c40-499c62c9585c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"3","e0f3f77b-9fa3-470e-8900-eda1f429bb0f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"4","f99342a1-8e14-435b-abc2-39c738ce3eb9.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"5","81ed5361-8358-421c-b388-9ec3e6140fee.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"6","170872ac-4f68-4d39-9ab8-eb82c92f7c04.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"7","631b1de2-fb01-4d43-80df-9f3c71a1dc72.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"8","985fd292-98ef-4e82-8276-1db0d8fe0329.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"9","b73f94fb-7d43-42d4-b9cb-1e15198f0d25.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"10","8d947bfa-6d74-4ded-a138-742a04f91203.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"11","e11c6b6a-61cc-48ef-ac4d-221f27d45091.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"12","cfda2cad-eeb3-4ede-b5c5-a484998611e5.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"13","8455c2a2-5c79-40e2-83d8-412fed27c355.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"14","2f1a2674-c4c5-41c0-9a0f-e7e22ef61255.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"15","b7da3433-e5d0-424f-8774-3caca846747b.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"16","29882704-6f18-4f45-8041-d77ccfc955cc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"17","427c0ab2-f456-46fc-aa8a-f85fe4d9f88a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"18","6afd36a6-9b94-4e59-9afe-e3dd1edbaf4e.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"19","056c7bec-b1a0-4098-9c94-d275dc8ef43e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"20","f4cfb770-82ce-4c31-90a9-a7ccb57c87d4.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"21","47998adb-b4c0-4b18-9203-a6d421b06f11.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"22","1d8f3d91-ddb3-43c1-87a9-1a17ae6866d7.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"23","b90ec08a-e1d4-4ef4-a4a7-c66d4a15c59c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"24","61b49c87-e9ee-4ddb-84a3-04fca3706c79.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"25","f00767f8-b811-4f55-88c6-baa6a6724c8e.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"26","000f90b3-7383-4887-af84-73f231c03f39.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"27","f20e5b5d-c132-46dd-906f-c46c5c2e6a34.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"28","c2728240-0a05-43ba-99e5-9040db6bf791.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"29","4a367f57-4ec4-42d1-9923-df07ab9b61ee.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"30","681f61ca-9108-4724-a0f2-d166fdc5e5bb.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"31","d12325fc-4ea5-40da-b4e8-b2d411759209.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"32","2fcb4d10-056b-4984-88ff-78070d54fb5d.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"33","9252a9f4-b138-4f2a-9787-c6ca0071356d.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"34","ace31d9c-08cd-4d54-98ab-1ae3937ea80a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"35","181db800-4d55-4096-8910-a6871da6ed38.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"36","d375e456-7e3f-4770-9b6f-3d4522172c07.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"37","316c4ea4-bc4d-4a41-9b62-b8248e68e821.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
