"","Run","Path","Class"
"1","f063aaed-a371-445a-9c40-499c62c9585c.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"2","f99342a1-8e14-435b-abc2-39c738ce3eb9.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"3","8d947bfa-6d74-4ded-a138-742a04f91203.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"4","e11c6b6a-61cc-48ef-ac4d-221f27d45091.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"5","2f1a2674-c4c5-41c0-9a0f-e7e22ef61255.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"6","b7da3433-e5d0-424f-8774-3caca846747b.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"7","29882704-6f18-4f45-8041-d77ccfc955cc.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"8","6afd36a6-9b94-4e59-9afe-e3dd1edbaf4e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"9","47998adb-b4c0-4b18-9203-a6d421b06f11.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"10","1d8f3d91-ddb3-43c1-87a9-1a17ae6866d7.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"11","b90ec08a-e1d4-4ef4-a4a7-c66d4a15c59c.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"12","61b49c87-e9ee-4ddb-84a3-04fca3706c79.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"13","f00767f8-b811-4f55-88c6-baa6a6724c8e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"14","f20e5b5d-c132-46dd-906f-c46c5c2e6a34.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"15","4a367f57-4ec4-42d1-9923-df07ab9b61ee.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"16","d12325fc-4ea5-40da-b4e8-b2d411759209.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"17","ace31d9c-08cd-4d54-98ab-1ae3937ea80a.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"18","0494c913-b8d5-4c2a-8f60-630a17605612.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"19","d336faaf-9dfd-4357-85ac-f449987073af.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"20","af61697d-5228-4f84-9d20-b76c9a2b05e8.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"21","56050b40-0992-41bb-bf05-f4cab2541940.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"22","8c23799f-7e71-407f-8628-3f9014527f64.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"23","ce9b38a7-fba0-4275-a6be-07ddbe76ce13.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"24","e870cd62-cce9-4376-b362-8c2a6911c3e3.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"25","cc2aa323-62e0-40e1-b4f7-4d9d0dd026a2.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"26","359f0995-1967-446f-886f-777455a919ae.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"27","57b815ef-511a-4578-9fb5-277765b51f78.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"28","208ff668-65ce-4d33-9882-4a7398ead4ac.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"29","f3921234-d785-4609-8252-6af7188f0305.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"30","ee4848b0-9322-4dd5-a606-da0504bb9feb.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"31","5f2a6bc7-0621-465a-a112-7f2be2ce6a51.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"32","65f9ba2e-842f-475b-92c5-8867724871b4.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"33","4078cbdc-60c2-4d55-a2de-b497f3ee1a6e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"34","e09ca29b-e860-41da-a470-4ea49886eefd.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"35","fabb2f09-5448-44d8-8927-f1f6b393df72.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"36","f76dbb11-d12e-4d89-b74b-042db70198f8.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"37","c3f1fbe9-4eb2-4312-8978-c8adf49c79b1.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"38","33b6a36c-ee07-4481-ba24-701e84afb2a0.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"39","f8b1834b-8ad8-4e12-9fdf-6f9ece739d89.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"40","663222a0-bd8b-4084-9291-bb30472ddd86.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"41","6ead2dc2-a880-4e71-b7c4-84f67b8261dc.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"42","51dbe991-5483-417a-88af-68fe4852529d.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
