"","Run","Path","Class"
"1","ecd6cc08-1fc9-4034-b03f-5bb315d3f905.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"2","e0f3f77b-9fa3-470e-8900-eda1f429bb0f.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"3","81ed5361-8358-421c-b388-9ec3e6140fee.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"4","170872ac-4f68-4d39-9ab8-eb82c92f7c04.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"5","631b1de2-fb01-4d43-80df-9f3c71a1dc72.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"6","985fd292-98ef-4e82-8276-1db0d8fe0329.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"7","b73f94fb-7d43-42d4-b9cb-1e15198f0d25.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"8","cfda2cad-eeb3-4ede-b5c5-a484998611e5.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"9","8455c2a2-5c79-40e2-83d8-412fed27c355.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"10","427c0ab2-f456-46fc-aa8a-f85fe4d9f88a.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"11","056c7bec-b1a0-4098-9c94-d275dc8ef43e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"12","f4cfb770-82ce-4c31-90a9-a7ccb57c87d4.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"13","000f90b3-7383-4887-af84-73f231c03f39.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"14","c2728240-0a05-43ba-99e5-9040db6bf791.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"15","681f61ca-9108-4724-a0f2-d166fdc5e5bb.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"16","2fcb4d10-056b-4984-88ff-78070d54fb5d.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"17","9252a9f4-b138-4f2a-9787-c6ca0071356d.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"18","181db800-4d55-4096-8910-a6871da6ed38.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"19","d375e456-7e3f-4770-9b6f-3d4522172c07.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"20","316c4ea4-bc4d-4a41-9b62-b8248e68e821.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"21","662810c1-3b3f-47d7-af20-8b40646c6c1a.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"22","05d00df8-fb92-4222-8af5-31b97867eb6f.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"23","66053d7d-d3e1-417c-8fdc-6b4b69f50a04.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"24","f9219836-0942-43f2-ad3a-f57cc48587ea.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"25","0e100747-b7c4-448a-bba7-4576c190c51b.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"26","0c4d26bc-c4fb-4d6c-8331-9d5afcae11c7.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"27","91a3855d-2412-4f55-a689-b7584c6edc56.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"28","deacae6a-5f74-4a07-8ee7-5f378fa5ea41.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"29","c749c8ec-bfdb-4301-913d-2ddb115412fc.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"30","8be5f4a4-8300-47ba-836f-9b89ddfe7451.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"31","4d83e943-3bc9-4d25-8dd9-30bb003dbe23.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"32","7bdb050e-b069-42ff-83d7-18cdf1765a76.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"33","6f65bc4e-1005-4a19-adc0-df28934a5533.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"34","4652439d-2d5a-4ee5-add6-22ccf4b21c75.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"35","4d72196f-5827-4ff1-b5da-f47946945de0.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"36","3fb1b531-00c6-4f08-95c7-03de14c74f9a.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"37","ede222a6-1e2c-4a7f-9d47-8b8236b850e7.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"38","1e1ad138-c8be-4eea-b3ba-7c63f0b6d041.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"39","2bc5c930-1436-42f9-bcd8-a8c120fec2cc.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"40","e11e5f44-1dfd-4c7d-b62b-fee9e7aa0183.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"41","eef3ce5b-8f0a-4ffa-936f-acd6ec32f7bd.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"42","f053a1a1-718a-46bd-a761-8ed3511aeb57.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"43","a2808b6e-0e20-482f-a47e-908a22d1b090.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"44","3aadf185-5bd9-4650-8704-4d09e84abcb3.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"45","f6257480-8e9f-4888-baf1-d7c3c49fe726.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"46","db2fe7d9-93bc-40b3-b811-7c0765091e1e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"47","1d3f60fe-7562-4ec5-8e90-c92367a51315.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"48","4d309823-4133-4120-b005-a3a3feda8cc6.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"49","59fc94d0-80d5-491b-90c2-cd1014b10bf7.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"50","fbf93c94-a681-4690-b9fa-91fa7c6b5a49.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"51","859df306-00fa-496e-8c6a-6bd30f7f7eda.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"52","228ded1a-9ae5-421d-9b58-8ae4176e56db.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"53","259873af-f1b8-4876-be24-dcd1f0aab471.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"54","e9d79c15-fa59-4298-bb5d-0f3d4b17ed4e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"55","a2ff9439-e753-48d0-b6be-6eb63ee0f894.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"56","54355c40-c4ef-4491-ad65-9bb247f34b23.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"57","536b7467-f306-49f6-99a7-57707472c09e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"58","a498b07f-0943-476e-80ca-9a1c1c95ef5e.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"59","2f3ff7b4-e7fd-452d-9df3-5e9ed23914e0.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"60","402d7ff6-52bf-437a-8bb1-70673bc40e9f.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"61","64189146-d3af-4501-a524-e11ddd0f437c.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"62","29a960dc-fadc-443c-a093-7e1344a3800b.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
"63","36df1baa-1477-4192-a6f1-51585f29f6b2.rna_seq.augmented_star_gene_counts.counts","brain/counts","G3"
"64","dcb993fe-8783-49c4-9aab-dc18d8caee49.rna_seq.augmented_star_gene_counts.counts","brain/counts","G2"
