"","Run","Path","Class"
"1","ecd6cc08-1fc9-4034-b03f-5bb315d3f905.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"2","f063aaed-a371-445a-9c40-499c62c9585c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"3","866db5e1-5cf4-4a0b-a4e5-4dab20ff98f5.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"4","e0f3f77b-9fa3-470e-8900-eda1f429bb0f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"5","8394962a-e88e-4b5d-b77e-c04ff95d1677.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"6","f99342a1-8e14-435b-abc2-39c738ce3eb9.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"7","81ed5361-8358-421c-b388-9ec3e6140fee.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"8","170872ac-4f68-4d39-9ab8-eb82c92f7c04.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"9","631b1de2-fb01-4d43-80df-9f3c71a1dc72.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"10","985fd292-98ef-4e82-8276-1db0d8fe0329.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"11","b73f94fb-7d43-42d4-b9cb-1e15198f0d25.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"12","8d947bfa-6d74-4ded-a138-742a04f91203.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"13","e11c6b6a-61cc-48ef-ac4d-221f27d45091.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"14","cfda2cad-eeb3-4ede-b5c5-a484998611e5.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"15","8455c2a2-5c79-40e2-83d8-412fed27c355.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"16","2f1a2674-c4c5-41c0-9a0f-e7e22ef61255.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"17","b7da3433-e5d0-424f-8774-3caca846747b.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"18","fa89c592-b855-4681-88e3-8f206e1f970c.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"19","29882704-6f18-4f45-8041-d77ccfc955cc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"20","427c0ab2-f456-46fc-aa8a-f85fe4d9f88a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"21","6afd36a6-9b94-4e59-9afe-e3dd1edbaf4e.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"22","056c7bec-b1a0-4098-9c94-d275dc8ef43e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"23","f4cfb770-82ce-4c31-90a9-a7ccb57c87d4.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"24","47998adb-b4c0-4b18-9203-a6d421b06f11.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"25","1d8f3d91-ddb3-43c1-87a9-1a17ae6866d7.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"26","602acda6-a90d-42bc-a8aa-6eade2a791c4.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"27","141614d9-0221-45dc-9935-d97977d49a50.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"28","b90ec08a-e1d4-4ef4-a4a7-c66d4a15c59c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"29","61b49c87-e9ee-4ddb-84a3-04fca3706c79.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"30","f00767f8-b811-4f55-88c6-baa6a6724c8e.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"31","000f90b3-7383-4887-af84-73f231c03f39.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"32","f20e5b5d-c132-46dd-906f-c46c5c2e6a34.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"33","c2728240-0a05-43ba-99e5-9040db6bf791.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"34","4a367f57-4ec4-42d1-9923-df07ab9b61ee.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"35","4fb7c7b2-ce12-40e9-bfd6-d808ac39ace0.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"36","681f61ca-9108-4724-a0f2-d166fdc5e5bb.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"37","d12325fc-4ea5-40da-b4e8-b2d411759209.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
